epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.54347825050354,0.000699999975040555,1.1935590505599976,0.695067286491394,0.8153931498527527
1,0.7028985619544983,0.000699999975040555,0.7417915463447571,0.847533643245697,0.5422101020812988
2,0.8152173757553101,0.000699999975040555,0.567546546459198,0.8565022349357605,0.435237318277359
3,0.8469203114509583,0.000699999975040555,0.473134845495224,0.9013453125953674,0.3401671350002289
4,0.8768116235733032,0.000699999975040555,0.4142208993434906,0.9192824959754944,0.27379876375198364
5,0.9067028760910034,0.000699999975040555,0.3499528169631958,0.9417040348052979,0.22389760613441467
6,0.9039855003356934,0.000699999975040555,0.3018184006214142,0.9506726264953613,0.1934911608695984
7,0.9112318754196167,0.000699999975040555,0.30724117159843445,0.9058296084403992,0.23849646747112274
8,0.9221014380455017,0.000699999975040555,0.2679547071456909,0.9237667918205261,0.20658735930919647
9,0.9420289993286133,0.000699999975040555,0.22408689558506012,0.9596412777900696,0.1444217711687088
10,0.9574275612831116,0.000699999975040555,0.21285229921340942,0.9372197389602661,0.19363567233085632
11,0.95923912525177,0.000699999975040555,0.18680325150489807,0.9641255736351013,0.1549292802810669
12,0.9655796885490417,0.000699999975040555,0.16766801476478577,0.9730941653251648,0.12654884159564972
13,0.967391312122345,0.000699999975040555,0.16582442820072174,0.9327354431152344,0.1999090164899826
14,0.970108687877655,0.000699999975040555,0.1587933897972107,0.9596412777900696,0.1419145166873932
15,0.9682971239089966,0.000699999975040555,0.17243871092796326,0.9641255736351013,0.15810397267341614
16,0.9692028760910034,0.000699999975040555,0.15581446886062622,0.9730941653251648,0.15197481215000153
17,0.9836956262588501,0.000699999975040555,0.12708064913749695,0.9551569223403931,0.18828879296779633
18,0.9773550629615784,0.000699999975040555,0.13409025967121124,0.9730941653251648,0.15607121586799622
19,0.9818840622901917,0.0003499999875202775,0.1138649582862854,0.9775784611701965,0.13561713695526123
20,0.97826087474823,0.0003499999875202775,0.11796768754720688,0.9730941653251648,0.15402671694755554
21,0.9773550629615784,0.0003499999875202775,0.12328124046325684,0.9686098694801331,0.1432303488254547
22,0.9909420013427734,0.0003499999875202775,0.10273197293281555,0.9686098694801331,0.1481829285621643
23,0.9882246255874634,0.0003499999875202775,0.09974153339862823,0.9730941653251648,0.13957113027572632
24,0.9827898740768433,0.0003499999875202775,0.11807414144277573,0.9730941653251648,0.16067050397396088
25,0.9800724387168884,0.00017499999376013875,0.11163055896759033,0.9686098694801331,0.14369089901447296
26,0.9927536249160767,0.00017499999376013875,0.0897044688463211,0.9775784611701965,0.1441383808851242
27,0.9882246255874634,0.00017499999376013875,0.08958687633275986,0.9775784611701965,0.14673058688640594
28,0.9927536249160767,0.00017499999376013875,0.0837877094745636,0.9730941653251648,0.137516051530838
29,0.9900362491607666,0.00017499999376013875,0.08350030332803726,0.9686098694801331,0.12911243736743927
30,0.9945651888847351,0.00017499999376013875,0.07868406176567078,0.9775784611701965,0.14488552510738373
